Название товара или услуги,Цена продажи,Краткое описание,Изображения,Размещение на сайте,old url,Свойство:РАЗМЕР
Ботинки - Чёрный бамбук,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки ""Чёрный бамбук""&nbsp;являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/5/l/5l5a2213.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2227.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2245.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1567.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1569.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-chjornyj-bambuk.html,37
Ботинки - Чёрный бамбук,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки ""Чёрный бамбук""&nbsp;являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/5/l/5l5a2213.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2227.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2245.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1567.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1569.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-chjornyj-bambuk.html,38
Ботинки - Чёрный бамбук,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки ""Чёрный бамбук""&nbsp;являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/5/l/5l5a2213.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2227.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2245.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1567.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1569.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-chjornyj-bambuk.html,39
Ботинки - Чёрный бамбук,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки ""Чёрный бамбук""&nbsp;являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/5/l/5l5a2213.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2227.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2245.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1567.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1569.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-chjornyj-bambuk.html,40
Ботинки - Чёрный бамбук,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки ""Чёрный бамбук""&nbsp;являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/5/l/5l5a2213.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2227.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2245.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1567.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1569.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-chjornyj-bambuk.html,41
Ботинки - Чёрный бамбук,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки ""Чёрный бамбук""&nbsp;являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/5/l/5l5a2213.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2227.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2245.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1567.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1569.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-chjornyj-bambuk.html,42
Ботинки - Чёрный бамбук,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки ""Чёрный бамбук""&nbsp;являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/5/l/5l5a2213.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2227.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2245.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1567.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1569.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-chjornyj-bambuk.html,43
Ботинки - Чёрный бамбук,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки ""Чёрный бамбук""&nbsp;являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/5/l/5l5a2213.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2227.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2245.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1567.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1569.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-chjornyj-bambuk.html,44
Ботинки - Чёрный бамбук,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки ""Чёрный бамбук""&nbsp;являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/5/l/5l5a2213.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2227.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2245.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1567.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1569.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-chjornyj-bambuk.html,45
Ботинки - Чёрный бамбук,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки ""Чёрный бамбук""&nbsp;являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/5/l/5l5a2213.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2227.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a2245.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1567.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1569.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-chjornyj-bambuk.html,35
Футболка - Штрих,"3500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из натурального хлопка с художественнымьпринтом, выполненным вручную.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,"[""Мужчинам/Новинки""]",https://pirosmani.info/futbolka-shtrih.html,S
Футболка - Штрих,"3500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из натурального хлопка с художественнымьпринтом, выполненным вручную.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,"[""Мужчинам/Новинки""]",https://pirosmani.info/futbolka-shtrih.html,M
Футболка - Штрих,"3500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из натурального хлопка с художественнымьпринтом, выполненным вручную.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,"[""Мужчинам/Новинки""]",https://pirosmani.info/futbolka-shtrih.html,L
Футболка - Штрих,"3500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из натурального хлопка с художественнымьпринтом, выполненным вручную.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,"[""Мужчинам/Новинки""]",https://pirosmani.info/futbolka-shtrih.html,XL
Футболка - Штрих,"3500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из натурального хлопка с художественнымьпринтом, выполненным вручную.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,"[""Мужчинам/Новинки""]",https://pirosmani.info/futbolka-shtrih.html,XXL
Бомбер - Чёрный дым,"24000,00.","
						<span class=""value"" itemprop=""description""><p>Куртка бомбер из плотной, хлопковой ткани. С художественным принтом, выполненным вручную, на тонком утеплителе.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_1819.jpeg, https://pirosmani.info/media/catalog/product/4/e/4e19f7c8-6a54-4fb7-98ea-ba399f22ab67.jpeg, https://pirosmani.info/media/catalog/product/2/1/211a5013.jpg, https://pirosmani.info/media/catalog/product/2/1/211a4998.jpg, https://pirosmani.info/media/catalog/product/2/1/211a5004.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/bomber-chjornyj-dym.html,M
Футболка - Норд,"4500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из натурального хлопка с декоративным принтом, выполненным вручную.&nbsp;</p>
<p>&nbsp;</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,"[""Мужчинам/Новинки""]",https://pirosmani.info/futbolka-nord.html,S
Футболка - Норд,"4500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из натурального хлопка с декоративным принтом, выполненным вручную.&nbsp;</p>
<p>&nbsp;</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,"[""Мужчинам/Новинки""]",https://pirosmani.info/futbolka-nord.html,M
Футболка - Норд,"4500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из натурального хлопка с декоративным принтом, выполненным вручную.&nbsp;</p>
<p>&nbsp;</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,"[""Мужчинам/Новинки""]",https://pirosmani.info/futbolka-nord.html,L
Футболка - Норд,"4500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из натурального хлопка с декоративным принтом, выполненным вручную.&nbsp;</p>
<p>&nbsp;</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,"[""Мужчинам/Новинки""]",https://pirosmani.info/futbolka-nord.html,XL
Футболка - Норд,"4500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из натурального хлопка с декоративным принтом, выполненным вручную.&nbsp;</p>
<p>&nbsp;</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,"[""Мужчинам/Новинки""]",https://pirosmani.info/futbolka-nord.html,XXL
Мужской худи - Макар,"5500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрный худи из натурального хлопка, свободного кроя с перфорацией, выполненной вручную.</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_1396.JPG""></div>
</div>
</div>
</div></span>
		","https://pirosmani.info/media/catalog/product/2/0/20191216_facebook.com-pavel.lahtachev-142_1.jpg, https://pirosmani.info/media/catalog/product/2/0/20191216_facebook.com-pavel.lahtachev-143.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskoj-hudi-makar.html,S
Мужской худи - Макар,"5500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрный худи из натурального хлопка, свободного кроя с перфорацией, выполненной вручную.</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_1396.JPG""></div>
</div>
</div>
</div></span>
		","https://pirosmani.info/media/catalog/product/2/0/20191216_facebook.com-pavel.lahtachev-142_1.jpg, https://pirosmani.info/media/catalog/product/2/0/20191216_facebook.com-pavel.lahtachev-143.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskoj-hudi-makar.html,M
Мужской худи - Макар,"5500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрный худи из натурального хлопка, свободного кроя с перфорацией, выполненной вручную.</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_1396.JPG""></div>
</div>
</div>
</div></span>
		","https://pirosmani.info/media/catalog/product/2/0/20191216_facebook.com-pavel.lahtachev-142_1.jpg, https://pirosmani.info/media/catalog/product/2/0/20191216_facebook.com-pavel.lahtachev-143.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskoj-hudi-makar.html,L
Худи - Чёрный плутон,"5000,00.","
						<span class=""value"" itemprop=""description""><p>Чёрный худи из натурального хлопка, свободного кроя.</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_1396.JPG""></div>
</div>
</div>
</div></span>
		","https://pirosmani.info/media/catalog/product/2/0/20191216_facebook.com-pavel.lahtachev-134_1.jpg, https://pirosmani.info/media/catalog/product/2/0/20191216_facebook.com-pavel.lahtachev-135.jpg, https://pirosmani.info/media/catalog/product/2/0/20191216_facebook.com-pavel.lahtachev-136.jpg, https://pirosmani.info/media/catalog/product/2/0/20191216_facebook.com-pavel.lahtachev-137.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-chjornyj-pluton.html,S
Худи - Чёрный плутон,"5000,00.","
						<span class=""value"" itemprop=""description""><p>Чёрный худи из натурального хлопка, свободного кроя.</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_1396.JPG""></div>
</div>
</div>
</div></span>
		","https://pirosmani.info/media/catalog/product/2/0/20191216_facebook.com-pavel.lahtachev-134_1.jpg, https://pirosmani.info/media/catalog/product/2/0/20191216_facebook.com-pavel.lahtachev-135.jpg, https://pirosmani.info/media/catalog/product/2/0/20191216_facebook.com-pavel.lahtachev-136.jpg, https://pirosmani.info/media/catalog/product/2/0/20191216_facebook.com-pavel.lahtachev-137.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-chjornyj-pluton.html,M
