Название товара или услуги,Цена продажи,Полное описание,Изображения,Размещение на сайте,old url,Свойство:РАЗМЕР
Ботинки - Высокий конверт,"22000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки ""высокий конверт"" из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Размеры:</span></p>
<p class=""p1""><span class=""s1"">Ж</span><span class=""s1"">ен.</span></p>
<p class=""p1""><span class=""s1"">36 - 23- 23,5 см</span></p>
<p class=""p1""><span class=""s1"">37 - 24- 24,5 см</span></p>
<p class=""p1""><span class=""s1"">38 - 24,7- 25 см</span></p>
<p class=""p1""><span class=""s1"">39 - 25,5- 25,7 см</span></p>
<p class=""p1""><span class=""s1"">40 - 26- 26,5 см</span></p>
<p class=""p1""><span class=""s1"">41 - 26,7- 27 см</span></p>
<p class=""p2"">&nbsp;</p>
<p class=""p1""><span class=""s1"">Муж.</span></p>
<p class=""p1""><span class=""s1"">40 - 26- 26,5 см</span></p>
<p class=""p1""><span class=""s1"">41 - 26,7- 27 см</span></p>
<p class=""p1""><span class=""s1"">42 - 27.5- 27,7 см</span></p>
<p class=""p1""><span class=""s1"">43 - 28- 28.7 см</span></p>
<p class=""p1""><span class=""s1"">44 - 29 см</span></p>
<p class=""p1""><span class=""s1"">45 - 29,7 см</span></p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_8730.jpeg, https://pirosmani.info/media/catalog/product/c/o/co7a5498_1.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5507.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5494.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5496.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5497.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5499.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5500.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5502.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5504.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5505.jpg",Каталог/Мужчинам/ОбувьЖенщинам/Обувь,https://pirosmani.info/botinki-vysokij-konvert.html,44
Ботинки - Высокий конверт,"22000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки ""высокий конверт"" из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Размеры:</span></p>
<p class=""p1""><span class=""s1"">Ж</span><span class=""s1"">ен.</span></p>
<p class=""p1""><span class=""s1"">36 - 23- 23,5 см</span></p>
<p class=""p1""><span class=""s1"">37 - 24- 24,5 см</span></p>
<p class=""p1""><span class=""s1"">38 - 24,7- 25 см</span></p>
<p class=""p1""><span class=""s1"">39 - 25,5- 25,7 см</span></p>
<p class=""p1""><span class=""s1"">40 - 26- 26,5 см</span></p>
<p class=""p1""><span class=""s1"">41 - 26,7- 27 см</span></p>
<p class=""p2"">&nbsp;</p>
<p class=""p1""><span class=""s1"">Муж.</span></p>
<p class=""p1""><span class=""s1"">40 - 26- 26,5 см</span></p>
<p class=""p1""><span class=""s1"">41 - 26,7- 27 см</span></p>
<p class=""p1""><span class=""s1"">42 - 27.5- 27,7 см</span></p>
<p class=""p1""><span class=""s1"">43 - 28- 28.7 см</span></p>
<p class=""p1""><span class=""s1"">44 - 29 см</span></p>
<p class=""p1""><span class=""s1"">45 - 29,7 см</span></p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_8730.jpeg, https://pirosmani.info/media/catalog/product/c/o/co7a5498_1.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5507.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5494.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5496.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5497.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5499.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5500.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5502.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5504.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5505.jpg",Каталог/Мужчинам/ОбувьЖенщинам/Обувь,https://pirosmani.info/botinki-vysokij-konvert.html,45
Ботинки - Высокий конверт,"22000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки ""высокий конверт"" из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Размеры:</span></p>
<p class=""p1""><span class=""s1"">Ж</span><span class=""s1"">ен.</span></p>
<p class=""p1""><span class=""s1"">36 - 23- 23,5 см</span></p>
<p class=""p1""><span class=""s1"">37 - 24- 24,5 см</span></p>
<p class=""p1""><span class=""s1"">38 - 24,7- 25 см</span></p>
<p class=""p1""><span class=""s1"">39 - 25,5- 25,7 см</span></p>
<p class=""p1""><span class=""s1"">40 - 26- 26,5 см</span></p>
<p class=""p1""><span class=""s1"">41 - 26,7- 27 см</span></p>
<p class=""p2"">&nbsp;</p>
<p class=""p1""><span class=""s1"">Муж.</span></p>
<p class=""p1""><span class=""s1"">40 - 26- 26,5 см</span></p>
<p class=""p1""><span class=""s1"">41 - 26,7- 27 см</span></p>
<p class=""p1""><span class=""s1"">42 - 27.5- 27,7 см</span></p>
<p class=""p1""><span class=""s1"">43 - 28- 28.7 см</span></p>
<p class=""p1""><span class=""s1"">44 - 29 см</span></p>
<p class=""p1""><span class=""s1"">45 - 29,7 см</span></p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_8730.jpeg, https://pirosmani.info/media/catalog/product/c/o/co7a5498_1.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5507.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5494.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5496.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5497.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5499.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5500.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5502.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5504.jpg, https://pirosmani.info/media/catalog/product/c/o/co7a5505.jpg",Каталог/Мужчинам/ОбувьЖенщинам/Обувь,https://pirosmani.info/botinki-vysokij-konvert.html,35
Мужские ботинки - Оригами,"22000,00.","
						<span class=""value"" itemprop=""description""><p>Высокие ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p>Размеры:</p>
<p>39 - 25,5- 25,7 см</p>
<p class=""p1""><span class=""s1"">40 - 26- 26,5 см</span></p>
<p class=""p1""><span class=""s1"">41 - 26,7- 27 см</span></p>
<p class=""p1""><span class=""s1"">42 - 27.5- 27,7 см</span></p>
<p class=""p1""><span class=""s1"">43 - 28- 28.7 см</span></p>
<p class=""p1""><span class=""s1"">44 - 29 см</span></p>
<p class=""p1""><span class=""s1"">45 - 29,7 с</span></p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0711_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0712.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0713.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0714.jpg",Каталог/Мужчинам/Обувь,https://pirosmani.info/muzhskie-botinki-origami.html,39
Мужские ботинки - Оригами,"22000,00.","
						<span class=""value"" itemprop=""description""><p>Высокие ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p>Размеры:</p>
<p>39 - 25,5- 25,7 см</p>
<p class=""p1""><span class=""s1"">40 - 26- 26,5 см</span></p>
<p class=""p1""><span class=""s1"">41 - 26,7- 27 см</span></p>
<p class=""p1""><span class=""s1"">42 - 27.5- 27,7 см</span></p>
<p class=""p1""><span class=""s1"">43 - 28- 28.7 см</span></p>
<p class=""p1""><span class=""s1"">44 - 29 см</span></p>
<p class=""p1""><span class=""s1"">45 - 29,7 с</span></p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0711_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0712.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0713.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0714.jpg",Каталог/Мужчинам/Обувь,https://pirosmani.info/muzhskie-botinki-origami.html,40
Мужские ботинки - Оригами,"22000,00.","
						<span class=""value"" itemprop=""description""><p>Высокие ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p>Размеры:</p>
<p>39 - 25,5- 25,7 см</p>
<p class=""p1""><span class=""s1"">40 - 26- 26,5 см</span></p>
<p class=""p1""><span class=""s1"">41 - 26,7- 27 см</span></p>
<p class=""p1""><span class=""s1"">42 - 27.5- 27,7 см</span></p>
<p class=""p1""><span class=""s1"">43 - 28- 28.7 см</span></p>
<p class=""p1""><span class=""s1"">44 - 29 см</span></p>
<p class=""p1""><span class=""s1"">45 - 29,7 с</span></p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0711_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0712.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0713.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0714.jpg",Каталог/Мужчинам/Обувь,https://pirosmani.info/muzhskie-botinki-origami.html,41
Мужские ботинки - Оригами,"22000,00.","
						<span class=""value"" itemprop=""description""><p>Высокие ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p>Размеры:</p>
<p>39 - 25,5- 25,7 см</p>
<p class=""p1""><span class=""s1"">40 - 26- 26,5 см</span></p>
<p class=""p1""><span class=""s1"">41 - 26,7- 27 см</span></p>
<p class=""p1""><span class=""s1"">42 - 27.5- 27,7 см</span></p>
<p class=""p1""><span class=""s1"">43 - 28- 28.7 см</span></p>
<p class=""p1""><span class=""s1"">44 - 29 см</span></p>
<p class=""p1""><span class=""s1"">45 - 29,7 с</span></p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0711_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0712.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0713.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0714.jpg",Каталог/Мужчинам/Обувь,https://pirosmani.info/muzhskie-botinki-origami.html,42
Мужские ботинки - Оригами,"22000,00.","
						<span class=""value"" itemprop=""description""><p>Высокие ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p>Размеры:</p>
<p>39 - 25,5- 25,7 см</p>
<p class=""p1""><span class=""s1"">40 - 26- 26,5 см</span></p>
<p class=""p1""><span class=""s1"">41 - 26,7- 27 см</span></p>
<p class=""p1""><span class=""s1"">42 - 27.5- 27,7 см</span></p>
<p class=""p1""><span class=""s1"">43 - 28- 28.7 см</span></p>
<p class=""p1""><span class=""s1"">44 - 29 см</span></p>
<p class=""p1""><span class=""s1"">45 - 29,7 с</span></p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0711_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0712.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0713.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0714.jpg",Каталог/Мужчинам/Обувь,https://pirosmani.info/muzhskie-botinki-origami.html,43
Мужские ботинки - Оригами,"22000,00.","
						<span class=""value"" itemprop=""description""><p>Высокие ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p>Размеры:</p>
<p>39 - 25,5- 25,7 см</p>
<p class=""p1""><span class=""s1"">40 - 26- 26,5 см</span></p>
<p class=""p1""><span class=""s1"">41 - 26,7- 27 см</span></p>
<p class=""p1""><span class=""s1"">42 - 27.5- 27,7 см</span></p>
<p class=""p1""><span class=""s1"">43 - 28- 28.7 см</span></p>
<p class=""p1""><span class=""s1"">44 - 29 см</span></p>
<p class=""p1""><span class=""s1"">45 - 29,7 с</span></p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0711_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0712.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0713.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0714.jpg",Каталог/Мужчинам/Обувь,https://pirosmani.info/muzhskie-botinki-origami.html,44
Мужские ботинки - Оригами,"22000,00.","
						<span class=""value"" itemprop=""description""><p>Высокие ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p>Размеры:</p>
<p>39 - 25,5- 25,7 см</p>
<p class=""p1""><span class=""s1"">40 - 26- 26,5 см</span></p>
<p class=""p1""><span class=""s1"">41 - 26,7- 27 см</span></p>
<p class=""p1""><span class=""s1"">42 - 27.5- 27,7 см</span></p>
<p class=""p1""><span class=""s1"">43 - 28- 28.7 см</span></p>
<p class=""p1""><span class=""s1"">44 - 29 см</span></p>
<p class=""p1""><span class=""s1"">45 - 29,7 с</span></p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0711_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0712.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0713.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0714.jpg",Каталог/Мужчинам/Обувь,https://pirosmani.info/muzhskie-botinki-origami.html,45
Ботинки - Граффити,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки граффити являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться<span class=""Apple-converted-space"">&nbsp;</span>и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p class=""p1""><span class=""s1"">Ухаживайте за обувью с помощью прозрачного крема. Не подвергайте ботинки сильному внешнему механическому и химическому воздействию. Смахивайте пыль и грязь губкой с прозрачным кремом. </span><span class=""s1"">Советуем снимать ботинок руками, не наступая на подошву другой ногой.</span></p>
<p>*выполняются на заказ, срок исполнения 2-3 недели.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_7357_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_7358.jpg, https://pirosmani.info/media/catalog/product/i/m/img_7356.jpg",Каталог/Мужчинам/ОбувьЖенщинам/Обувь,https://pirosmani.info/botinki-graffiti.html,36
Ботинки - Граффити,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки граффити являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться<span class=""Apple-converted-space"">&nbsp;</span>и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p class=""p1""><span class=""s1"">Ухаживайте за обувью с помощью прозрачного крема. Не подвергайте ботинки сильному внешнему механическому и химическому воздействию. Смахивайте пыль и грязь губкой с прозрачным кремом. </span><span class=""s1"">Советуем снимать ботинок руками, не наступая на подошву другой ногой.</span></p>
<p>*выполняются на заказ, срок исполнения 2-3 недели.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_7357_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_7358.jpg, https://pirosmani.info/media/catalog/product/i/m/img_7356.jpg",Каталог/Мужчинам/ОбувьЖенщинам/Обувь,https://pirosmani.info/botinki-graffiti.html,37
Ботинки - Граффити,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки граффити являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться<span class=""Apple-converted-space"">&nbsp;</span>и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p class=""p1""><span class=""s1"">Ухаживайте за обувью с помощью прозрачного крема. Не подвергайте ботинки сильному внешнему механическому и химическому воздействию. Смахивайте пыль и грязь губкой с прозрачным кремом. </span><span class=""s1"">Советуем снимать ботинок руками, не наступая на подошву другой ногой.</span></p>
<p>*выполняются на заказ, срок исполнения 2-3 недели.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_7357_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_7358.jpg, https://pirosmani.info/media/catalog/product/i/m/img_7356.jpg",Каталог/Мужчинам/ОбувьЖенщинам/Обувь,https://pirosmani.info/botinki-graffiti.html,38
Ботинки - Граффити,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки граффити являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться<span class=""Apple-converted-space"">&nbsp;</span>и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p class=""p1""><span class=""s1"">Ухаживайте за обувью с помощью прозрачного крема. Не подвергайте ботинки сильному внешнему механическому и химическому воздействию. Смахивайте пыль и грязь губкой с прозрачным кремом. </span><span class=""s1"">Советуем снимать ботинок руками, не наступая на подошву другой ногой.</span></p>
<p>*выполняются на заказ, срок исполнения 2-3 недели.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_7357_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_7358.jpg, https://pirosmani.info/media/catalog/product/i/m/img_7356.jpg",Каталог/Мужчинам/ОбувьЖенщинам/Обувь,https://pirosmani.info/botinki-graffiti.html,39
Ботинки - Граффити,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки граффити являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться<span class=""Apple-converted-space"">&nbsp;</span>и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p class=""p1""><span class=""s1"">Ухаживайте за обувью с помощью прозрачного крема. Не подвергайте ботинки сильному внешнему механическому и химическому воздействию. Смахивайте пыль и грязь губкой с прозрачным кремом. </span><span class=""s1"">Советуем снимать ботинок руками, не наступая на подошву другой ногой.</span></p>
<p>*выполняются на заказ, срок исполнения 2-3 недели.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_7357_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_7358.jpg, https://pirosmani.info/media/catalog/product/i/m/img_7356.jpg",Каталог/Мужчинам/ОбувьЖенщинам/Обувь,https://pirosmani.info/botinki-graffiti.html,40
Ботинки - Граффити,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки граффити являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться<span class=""Apple-converted-space"">&nbsp;</span>и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p class=""p1""><span class=""s1"">Ухаживайте за обувью с помощью прозрачного крема. Не подвергайте ботинки сильному внешнему механическому и химическому воздействию. Смахивайте пыль и грязь губкой с прозрачным кремом. </span><span class=""s1"">Советуем снимать ботинок руками, не наступая на подошву другой ногой.</span></p>
<p>*выполняются на заказ, срок исполнения 2-3 недели.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_7357_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_7358.jpg, https://pirosmani.info/media/catalog/product/i/m/img_7356.jpg",Каталог/Мужчинам/ОбувьЖенщинам/Обувь,https://pirosmani.info/botinki-graffiti.html,41
Ботинки - Граффити,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки граффити являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться<span class=""Apple-converted-space"">&nbsp;</span>и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p class=""p1""><span class=""s1"">Ухаживайте за обувью с помощью прозрачного крема. Не подвергайте ботинки сильному внешнему механическому и химическому воздействию. Смахивайте пыль и грязь губкой с прозрачным кремом. </span><span class=""s1"">Советуем снимать ботинок руками, не наступая на подошву другой ногой.</span></p>
<p>*выполняются на заказ, срок исполнения 2-3 недели.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_7357_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_7358.jpg, https://pirosmani.info/media/catalog/product/i/m/img_7356.jpg",Каталог/Мужчинам/ОбувьЖенщинам/Обувь,https://pirosmani.info/botinki-graffiti.html,42
Ботинки - Граффити,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально).</p>
<p class=""p1""><span class=""s1"">Ботинки граффити являются произведением искусства. </span>Каждая пара уникальна и расписывается художником перманентными маркерами. С момента росписи, эти произведения начинают своё художественное, артистичное существование в мире, свою уникальную жизнь. Как и краска граффити на стенах, так и краска на ботинках, может слегка пылиться, трескаться и затираться<span class=""Apple-converted-space"">&nbsp;</span>и в то же время становиться ещё более живой, художественной и артистичной, как живой объект современного искусства.</p>
<p class=""p1"">Если вы хотите максимально сохранить авторский рисунок в целости, относитесь к нему бережно.</p>
<p class=""p1""><span class=""s1"">Ухаживайте за обувью с помощью прозрачного крема. Не подвергайте ботинки сильному внешнему механическому и химическому воздействию. Смахивайте пыль и грязь губкой с прозрачным кремом. </span><span class=""s1"">Советуем снимать ботинок руками, не наступая на подошву другой ногой.</span></p>
<p>*выполняются на заказ, срок исполнения 2-3 недели.</p>
<p>Размерная сетка:</p>
<p>36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_7357_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_7358.jpg, https://pirosmani.info/media/catalog/product/i/m/img_7356.jpg",Каталог/Мужчинам/ОбувьЖенщинам/Обувь,https://pirosmani.info/botinki-graffiti.html,43
