Название товара или услуги,Цена продажи,Полное описание,Изображения,Размещение на сайте,old url,Свойство:РАЗМЕР
Футболка - Лёгкий ветерок,"3500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из натурального хлопка с перфорацией, сделанной вручную.</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,Каталог/Мужчинам/SALE 2000Женщинам/НовинкиЖенщинам/РАСПРОДАЖАЖенщинам/Футболки,https://pirosmani.info/futbolka-ljogkij-veterok.html,M
Футболка - Лёгкий ветерок,"3500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из натурального хлопка с перфорацией, сделанной вручную.</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,Каталог/Мужчинам/SALE 2000Женщинам/НовинкиЖенщинам/РАСПРОДАЖАЖенщинам/Футболки,https://pirosmani.info/futbolka-ljogkij-veterok.html,L
Футболка - Лёгкий ветерок,"3500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из натурального хлопка с перфорацией, сделанной вручную.</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,Каталог/Мужчинам/SALE 2000Женщинам/НовинкиЖенщинам/РАСПРОДАЖАЖенщинам/Футболки,https://pirosmani.info/futbolka-ljogkij-veterok.html,XL
Футболка - Лёгкий ветерок,"3500,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из натурального хлопка с перфорацией, сделанной вручную.</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,Каталог/Мужчинам/SALE 2000Женщинам/НовинкиЖенщинам/РАСПРОДАЖАЖенщинам/Футболки,https://pirosmani.info/futbolka-ljogkij-veterok.html,XXL
Футболка - Ветерок,"3000,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из 100% хлопка с декоративными&nbsp;строчками.&nbsp;</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,Каталог/Мужчинам/SALE 2000Мужчинам/ФутболкиЖенщинам/РАСПРОДАЖАЖенщинам/Футболки,https://pirosmani.info/futbolka-veterok.html,S
Футболка - Ветерок,"3000,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из 100% хлопка с декоративными&nbsp;строчками.&nbsp;</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,Каталог/Мужчинам/SALE 2000Мужчинам/ФутболкиЖенщинам/РАСПРОДАЖАЖенщинам/Футболки,https://pirosmani.info/futbolka-veterok.html,M
Футболка - Ветерок,"3000,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из 100% хлопка с декоративными&nbsp;строчками.&nbsp;</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,Каталог/Мужчинам/SALE 2000Мужчинам/ФутболкиЖенщинам/РАСПРОДАЖАЖенщинам/Футболки,https://pirosmani.info/futbolka-veterok.html,L
Футболка - Ветерок,"3000,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из 100% хлопка с декоративными&nbsp;строчками.&nbsp;</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,Каталог/Мужчинам/SALE 2000Мужчинам/ФутболкиЖенщинам/РАСПРОДАЖАЖенщинам/Футболки,https://pirosmani.info/futbolka-veterok.html,XL
Футболка - Ветерок,"3000,00.","
						<span class=""value"" itemprop=""description""><p>Чёрная футболка из 100% хлопка с декоративными&nbsp;строчками.&nbsp;</p>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_0727.JPG""></div>
</div>
</div>
</div></span>
		",,Каталог/Мужчинам/SALE 2000Мужчинам/ФутболкиЖенщинам/РАСПРОДАЖАЖенщинам/Футболки,https://pirosmani.info/futbolka-veterok.html,XXL
Рубашка - Затмение. Чёрная,"9200,00.","
						<span class=""value"" itemprop=""description""><p>Оверсайз рубашка из хлопка, на спине находится сложная вышивка в виде концентрического узора, напоминающего цветок или звезду, выполненная черными нитями вручную.&nbsp; Ткань выглядит мягкой и слегка помятой, что придает изделию непринужденный и стильный вид.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_3770_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_3769.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_3754.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_3753.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_3767.jpeg",Каталог/Мужчинам/НовинкиМужчинам/РубашкиЖенщинам/НовинкиЖенщинам/Рубашки,https://pirosmani.info/rubashka-zatmenie-chjornaja.html,M
